epoch,loss,lr
0,16.052701169860793,0.01
1,16.051297424796537,0.01
2,16.051297426845874,0.01
3,16.051297426845874,0.01
4,16.051297426845874,0.01
5,16.051297426845874,0.01
6,16.051297426845874,0.01
7,16.051297426845874,0.01
8,16.051297426845874,0.01
9,16.051297426845874,0.01
10,16.051297426845874,0.01
11,16.051297426845874,0.01
12,16.051297426845874,0.01
13,16.051297426845874,0.01
14,16.051297426845874,0.01
15,16.051297426845874,0.01
16,16.051297426845874,0.01
17,16.051297424796537,0.01
18,16.051297426845874,0.01
19,16.051297426845874,0.01
20,16.051297426845874,0.01
21,16.051297426845874,0.01
22,16.051297424796537,0.01
23,16.051297426845874,0.01
24,16.051297426845874,0.01
